address,section,size_bytes,class,subtype_reason,likely_owner,owner_confidence
0x8031C5D0,.data,80,data-table,structured .data (relocs/pointers present),dll_0031_minimap.c,high
0x8031CC10,.data,40,ptr-table,reloc-dense pointer/jump/vtable table,dll_0040_credits.c,high
0x8031CDB8,.data,48,ptr-table,reloc-dense pointer/jump/vtable table,dll_0041_warpstoneui.c,high
0x8031D2A4,.data,1596,data-table,structured .data (relocs/pointers present),dll_80136a40.c,high
0x8031D930,.data,524,data-table,structured .data (relocs/pointers present),weapone6.c,high
0x8031DBD8,.data,24,data-table,opaque .data table (needs inspection),dll_00C4_tricky.c,high
0x8031DC30,.data,88,ptr-table,reloc-dense pointer/jump/vtable table,dll_00C9_enemy.c,high
0x8031DD30,.data,5472,data-table,structured .data (relocs/pointers present),dll_00E1_wispbaddie.c,high
0x8031F3A0,.data,1864,data-table,opaque .data table (needs inspection),duster.c,high
0x8031FD58,.data,40,ptr-table,reloc-dense pointer/jump/vtable table,firecrawler.c,high
0x80320008,.data,368,data-table,structured .data (relocs/pointers present),dll_00CD_iceball.c,high
0x803201B0,.data,56,ptr-table,reloc-dense pointer/jump/vtable table,dll_00D0_grimble.c,high
0x803202E8,.data,152,data-table,opaque .data table (needs inspection),dll_00D2_tumbleweed.c,high
0x803203F8,.data,32,float-pool,numeric constant table,dll_00D4_skeetlawall.c,high
0x80320700,.data,48,data-table,opaque .data table (needs inspection),dll_00DE_baddieinterestp.c,high
0x80320768,.data,200,float-pool,numeric constant table,dll_00C6_animatedobj.c,high
0x803208A0,.data,108,data-table,opaque .data table (needs inspection),dll_00C8_depthoffieldpoint.c,high
0x80320978,.data,12,data-table,opaque .data table (needs inspection),dll_00E2_staff.c,high
0x803209C0,.data,36,data-table,opaque .data table (needs inspection),dll_00E3_fireball.c,high
0x80320A28,.data,64,float-pool,numeric constant table,dll_00E4_flamethrowerspe.c,high
0x80320AA0,.data,32,ptr-table,reloc-dense pointer/jump/vtable table,dll_00E5_shield.c,high
0x80320BB0,.data,332,data-table,structured .data (relocs/pointers present),dll_00E8_checkpoint4.c,high
0x80320D48,.data,72,ptr-table,reloc-dense pointer/jump/vtable table,dll_00EE_effectbox.c,high
0x80320DB8,.data,376,ptr-table,reloc-dense pointer/jump/vtable table,dll_00EF_pushable.c,high
0x80320FD0,.data,464,data-table,structured .data (relocs/pointers present),dll_00F6_area.c,high
0x803213F0,.data,112,ptr-table,reloc-dense pointer/jump/vtable table,dll_0113_seqobj2.c,high
0x803216F0,.data,56,ptr-table,reloc-dense pointer/jump/vtable table,dll_0104_smallbasket.c,high
0x80321750,.data,112,ptr-table,reloc-dense pointer/jump/vtable table,dll_0105_largecrate.c,high
0x80321830,.data,504,ptr-table,reloc-dense pointer/jump/vtable table,dll_010D_portalspelldoor.c,high
0x80321C24,.data,340,data-table,structured .data (relocs/pointers present),dll_011B_landedarwing.c,high
0x80321DB0,.data,448,ptr-table,reloc-dense pointer/jump/vtable table,dll_0122_cctestinfot.c,high
0x80321F80,.data,448,ptr-table,reloc-dense pointer/jump/vtable table,dll_012B_fxemit.c,high
0x80322178,.data,624,ptr-table,reloc-dense pointer/jump/vtable table,dll_0135_texscroll.c,high
0x80322400,.data,224,data-table,structured .data (relocs/pointers present),dll_013F_texframeanimator.c,high
0x80322518,.data,820,data-table,structured .data (relocs/pointers present),dll_0126_trigger.c,high
0x80322A80,.data,168,ptr-table,reloc-dense pointer/jump/vtable table,dll_0149_cfwindlift.c,high
0x80322B38,.data,168,ptr-table,reloc-dense pointer/jump/vtable table,dll_014C_babycloudrunner.c,high
0x80322C00,.data,416,ptr-table,reloc-dense pointer/jump/vtable table,dll_014E_cfprisonguard.c,high
0x80322EA0,.data,760,data-table,structured .data (relocs/pointers present),dll_015A_explodable.c,high
0x803231E0,.data,552,ptr-table,reloc-dense pointer/jump/vtable table,dll_0180_mmpasteroidre.c,high
0x80323464,.data,596,data-table,structured .data (relocs/pointers present),dll_0188_cclightfoot.c,high
0x803236D0,.data,1264,data-table,structured .data (relocs/pointers present),dll_016A_crrockfall.c,high
0x80325360,.data,456,ptr-table,reloc-dense pointer/jump/vtable table,dll_01C1_dimsnowball.c,high
0x80325558,.data,112,ptr-table,reloc-dense pointer/jump/vtable table,dll_01CA_dimexplosion.c,high
0x80325600,.data,112,ptr-table,reloc-dense pointer/jump/vtable table,dll_01CE_dll1ce.c,high
0x803256A8,.data,760,ptr-table,reloc-dense pointer/jump/vtable table,dll_01CF_dll1cf.c,high
0x80325AC8,.data,60,data-table,opaque .data table (needs inspection),dim2icicle.c,high
0x80325B94,.data,100,ptr-table,reloc-dense pointer/jump/vtable table,dll_01E0_dimboss.c,high
0x80325C30,.data,856,data-table,structured .data (relocs/pointers present),dll_01E1_dimbossgut.c,high
0x80325FEC,.data,316,ptr-table,reloc-dense pointer/jump/vtable table,dll_0178_dfshshrine.c,high
0x80326168,.data,112,ptr-table,reloc-dense pointer/jump/vtable table,dll_018C_mmshshrine.c,high
0x80326324,.data,116,ptr-table,reloc-dense pointer/jump/vtable table,dll_018F_ecshshrine.c,high
0x803263B8,.data,296,ptr-table,reloc-dense pointer/jump/vtable table,dll_0192_gpshshrine.c,high
0x80326518,.data,56,ptr-table,reloc-dense pointer/jump/vtable table,dll_0197_dll197.c,high
0x803265DC,.data,164,ptr-table,reloc-dense pointer/jump/vtable table,dll_0199_dll199.c,high
0x8032668C,.data,308,ptr-table,reloc-dense pointer/jump/vtable table,dll_019B_dll19b.c,high
0x803268EC,.data,740,data-table,structured .data (relocs/pointers present),dll_01A1_nwmammoth.c,high
0x80326CBC,.data,100,ptr-table,reloc-dense pointer/jump/vtable table,dll_01A8_shkillermushroom.c,high
0x80326D5C,.data,188,data-table,structured .data (relocs/pointers present),dll_01A9_bombplant.c,high
0x80326E38,.data,96,ptr-table,reloc-dense pointer/jump/vtable table,dll_01AC_shqueenearthwalker.c,high
0x80327560,.data,56,ptr-table,reloc-dense pointer/jump/vtable table,dll_01AD_shthorntail.c,high
0x803275C0,.data,404,data-table,structured .data (relocs/pointers present),sclantern.c,high
